Second,Packets_s,Bytes_s,New_Flow_s
2025-08-21 09:53:54,98,39956,1
2025-08-21 09:53:55,0,0,0
2025-08-21 09:53:56,0,0,0
2025-08-21 09:53:57,0,0,0
2025-08-21 09:53:58,0,0,0
2025-08-21 09:53:59,8,516,2
2025-08-21 09:54:00,0,0,0
2025-08-21 09:54:01,6,36,1
2025-08-21 09:54:02,0,0,0
2025-08-21 09:54:03,0,0,0
2025-08-21 09:54:04,0,0,0
2025-08-21 09:54:05,0,0,0
2025-08-21 09:54:06,6,166,1
2025-08-21 09:54:07,4,24,1
2025-08-21 09:54:08,0,0,0
2025-08-21 09:54:09,112,0,1
2025-08-21 09:54:10,0,0,0
2025-08-21 09:54:11,0,0,0
2025-08-21 09:54:12,0,0,0
2025-08-21 09:54:13,0,0,0
2025-08-21 09:54:14,6,0,1
2025-08-21 09:54:15,0,0,0
2025-08-21 09:54:16,0,0,0
2025-08-21 09:54:17,0,0,0
2025-08-21 09:54:18,0,0,0
2025-08-21 09:54:19,0,0,0
2025-08-21 09:54:20,0,0,0
2025-08-21 09:54:21,0,0,0
2025-08-21 09:54:22,0,0,0
2025-08-21 09:54:23,0,0,0
2025-08-21 09:54:24,0,0,0
2025-08-21 09:54:25,0,0,0
2025-08-21 09:54:26,16,240,1
2025-08-21 09:54:27,62,904,5
2025-08-21 09:54:28,70,1030,6
2025-08-21 09:54:29,140,2246,15
2025-08-21 09:54:30,20,0,2
2025-08-21 09:54:31,0,0,0
2025-08-21 09:54:32,0,0,0
2025-08-21 09:54:33,0,0,0
2025-08-21 09:54:34,0,0,0
2025-08-21 09:54:35,0,0,0
2025-08-21 09:54:36,0,0,0
2025-08-21 09:54:37,0,0,0
2025-08-21 09:54:38,0,0,0
2025-08-21 09:54:39,0,0,0
2025-08-21 09:54:40,0,0,0
2025-08-21 09:54:41,0,0,0
2025-08-21 09:54:42,0,0,0
2025-08-21 09:54:43,0,0,0
2025-08-21 09:54:44,0,0,0
2025-08-21 09:54:45,0,0,0
2025-08-21 09:54:46,0,0,0
2025-08-21 09:54:47,0,0,0
2025-08-21 09:54:48,0,0,0
2025-08-21 09:54:49,0,0,0
2025-08-21 09:54:50,0,0,0
2025-08-21 09:54:51,0,0,0
2025-08-21 09:54:52,0,0,0
2025-08-21 09:54:53,75,7296,1
2025-08-21 09:54:54,14,0,1
2025-08-21 09:54:55,200,14970,1
2025-08-21 09:54:56,0,0,0
2025-08-21 09:54:57,0,0,0
2025-08-21 09:54:58,0,0,0
2025-08-21 09:54:59,0,0,0
2025-08-21 09:55:00,0,0,0
2025-08-21 09:55:01,0,0,0
2025-08-21 09:55:02,0,0,0
2025-08-21 09:55:03,296,61700,12
2025-08-21 09:55:04,435,219141,14
2025-08-21 09:55:05,1739,912766,40
2025-08-21 09:55:06,104,27018,7
2025-08-21 09:55:07,18,748,4
2025-08-21 09:55:08,0,0,0
2025-08-21 09:55:09,7,42,1
2025-08-21 09:55:10,0,0,0
2025-08-21 09:55:11,40,2448,5
2025-08-21 09:55:12,0,0,0
2025-08-21 09:55:13,6,36,1
2025-08-21 09:55:14,0,0,0
2025-08-21 09:55:15,0,0,0
2025-08-21 09:55:16,22,847,4
2025-08-21 09:55:17,11,66,2
2025-08-21 09:55:18,0,0,0
2025-08-21 09:55:19,7,42,1
2025-08-21 09:55:20,0,0,0
2025-08-21 09:55:21,60,516,3
2025-08-21 09:55:22,0,0,0
2025-08-21 09:55:23,0,0,0
2025-08-21 09:55:24,73,12014,7
2025-08-21 09:55:25,65,2666,3
2025-08-21 09:55:26,0,0,0
2025-08-21 09:55:27,6,36,1
2025-08-21 09:55:28,39,0,1
2025-08-21 09:55:29,16,564,3
2025-08-21 09:55:30,0,0,0
2025-08-21 09:55:31,0,0,0
2025-08-21 09:55:32,0,0,0
2025-08-21 09:55:33,0,0,0
2025-08-21 09:55:34,0,0,0
2025-08-21 09:55:35,0,0,0
2025-08-21 09:55:36,12,712,3
2025-08-21 09:55:37,0,0,0
2025-08-21 09:55:38,0,0,0
2025-08-21 09:55:39,0,0,0
2025-08-21 09:55:40,0,0,0
2025-08-21 09:55:41,0,0,0
2025-08-21 09:55:42,4,24,1
2025-08-21 09:55:43,0,0,0
2025-08-21 09:55:44,0,0,0
2025-08-21 09:55:45,0,0,0
2025-08-21 09:55:46,0,0,0
2025-08-21 09:55:47,0,0,0
2025-08-21 09:55:48,0,0,0
2025-08-21 09:55:49,0,0,0
2025-08-21 09:55:50,0,0,0
2025-08-21 09:55:51,10,190,1
2025-08-21 09:55:52,18,263,2
2025-08-21 09:55:53,0,0,0
2025-08-21 09:55:54,0,0,0
2025-08-21 09:55:55,0,0,0
2025-08-21 09:55:56,0,0,0
2025-08-21 09:55:57,0,0,0
2025-08-21 09:55:58,0,0,0
2025-08-21 09:55:59,38,145,1
2025-08-21 09:56:00,0,0,0
2025-08-21 09:56:01,0,0,0
2025-08-21 09:56:02,0,0,0
2025-08-21 09:56:03,6,36,1
2025-08-21 09:56:04,17,5100,1
2025-08-21 09:56:05,5,30,1
2025-08-21 09:56:06,36,2177,5
2025-08-21 09:56:07,16,350,3
2025-08-21 09:56:08,0,0,0
2025-08-21 09:56:09,6,36,1
2025-08-21 09:56:10,84,0,1
2025-08-21 09:56:11,9,129,1
2025-08-21 09:56:12,6,36,1
2025-08-21 09:56:13,0,0,0
2025-08-21 09:56:14,0,0,0
2025-08-21 09:56:15,0,0,0
2025-08-21 09:56:16,0,0,0
2025-08-21 09:56:17,71,7432,1
2025-08-21 09:56:18,30,972,3
2025-08-21 09:56:19,44,784,4
2025-08-21 09:56:20,46,796,5
2025-08-21 09:56:21,0,0,0
2025-08-21 09:56:22,0,0,0
2025-08-21 09:56:23,0,0,0
2025-08-21 09:56:24,0,0,0
2025-08-21 09:56:25,7,42,1
2025-08-21 09:56:26,0,0,0
2025-08-21 09:56:27,7,0,1
2025-08-21 09:56:28,52,2148,2
2025-08-21 09:56:29,0,0,0
2025-08-21 09:56:30,0,0,0
2025-08-21 09:56:31,0,0,0
2025-08-21 09:56:32,0,0,0
2025-08-21 09:56:33,0,0,0
2025-08-21 09:56:34,0,0,0
2025-08-21 09:56:35,77,13986,3
2025-08-21 09:56:36,0,0,0
2025-08-21 09:56:37,0,0,0
2025-08-21 09:56:38,0,0,0
2025-08-21 09:56:39,0,0,0
2025-08-21 09:56:40,16,36,2
2025-08-21 09:56:41,79,10216,1
2025-08-21 09:56:42,7,86,1
2025-08-21 09:56:43,0,0,0
2025-08-21 09:56:44,0,0,0
2025-08-21 09:56:45,0,0,0
2025-08-21 09:56:46,0,0,0
2025-08-21 09:56:47,0,0,0
2025-08-21 09:56:48,0,0,0
2025-08-21 09:56:49,0,0,0
2025-08-21 09:56:50,0,0,0
2025-08-21 09:56:51,0,0,0
2025-08-21 09:56:52,0,0,0
2025-08-21 09:56:53,0,0,0
2025-08-21 09:56:54,6,144,1
2025-08-21 09:56:55,0,0,0
2025-08-21 09:56:56,0,0,0
2025-08-21 09:56:57,0,0,0
2025-08-21 09:56:58,0,0,0
2025-08-21 09:56:59,0,0,0
2025-08-21 09:57:00,16,171,2
2025-08-21 09:57:01,5,30,1
2025-08-21 09:57:02,10,52,2
2025-08-21 09:57:03,0,0,0
2025-08-21 09:57:04,0,0,0
2025-08-21 09:57:05,247,30953,7
2025-08-21 09:57:06,0,0,0
2025-08-21 09:57:07,185,39552,10
2025-08-21 09:57:08,928,324836,45
2025-08-21 09:57:09,1079,368682,61
2025-08-21 09:57:10,18,1649,1
2025-08-21 09:57:11,0,0,0
2025-08-21 09:57:12,0,0,0
2025-08-21 09:57:13,0,0,0
2025-08-21 09:57:14,155,27449,11
2025-08-21 09:57:15,0,0,0
2025-08-21 09:57:16,8,73,1
2025-08-21 09:57:17,0,0,0
2025-08-21 09:57:18,61,24876,8
2025-08-21 09:57:19,844,173506,39
2025-08-21 09:57:20,68,2632,16
2025-08-21 09:57:21,32,2426,8
2025-08-21 09:57:22,0,0,0
2025-08-21 09:57:23,0,0,0
2025-08-21 09:57:24,5,30,1
2025-08-21 09:57:25,19,969,3
2025-08-21 09:57:26,66,36,2
2025-08-21 09:57:27,0,0,0
2025-08-21 09:57:28,0,0,0
2025-08-21 09:57:29,4,280,1
2025-08-21 09:57:30,4,200,1
2025-08-21 09:57:31,0,0,0
2025-08-21 09:57:32,42,0,1
2025-08-21 09:57:33,0,0,0
2025-08-21 09:57:34,90,10488,3
2025-08-21 09:57:35,0,0,0
2025-08-21 09:57:36,9,116,1
2025-08-21 09:57:37,0,0,0
2025-08-21 09:57:38,0,0,0
2025-08-21 09:57:39,2,12,1
2025-08-21 09:57:40,3,18,1
2025-08-21 09:57:41,0,0,0
2025-08-21 09:57:42,6,36,1
2025-08-21 09:57:43,0,0,0
2025-08-21 09:57:44,97,10216,4
2025-08-21 09:57:45,0,0,0
2025-08-21 09:57:46,0,0,0
2025-08-21 09:57:47,0,0,0
2025-08-21 09:57:48,0,0,0
2025-08-21 09:57:49,77,14156,6
2025-08-21 09:57:50,0,0,0
2025-08-21 09:57:51,0,0,0
2025-08-21 09:57:52,0,0,0
2025-08-21 09:57:53,7,18,1
2025-08-21 09:57:54,16,190,2
2025-08-21 09:57:55,13,190,2
2025-08-21 09:57:56,0,0,0
2025-08-21 09:57:57,0,0,0
2025-08-21 09:57:58,5,30,1
2025-08-21 09:57:59,0,0,0
2025-08-21 09:58:00,0,0,0
2025-08-21 09:58:01,0,0,0
2025-08-21 09:58:02,0,0,0
2025-08-21 09:58:03,0,0,0
2025-08-21 09:58:04,0,0,0
2025-08-21 09:58:05,4,12,1
2025-08-21 09:58:06,6,0,1
2025-08-21 09:58:07,0,0,0
2025-08-21 09:58:08,0,0,0
2025-08-21 09:58:09,0,0,0
2025-08-21 09:58:10,12,1836,2
2025-08-21 09:58:11,0,0,0
2025-08-21 09:58:12,0,0,0
2025-08-21 09:58:13,0,0,0
2025-08-21 09:58:14,82,12,2
2025-08-21 09:58:15,3,18,1
2025-08-21 09:58:16,0,0,0
2025-08-21 09:58:17,0,0,0
2025-08-21 09:58:18,0,0,0
2025-08-21 09:58:19,0,0,0
2025-08-21 09:58:20,0,0,0
2025-08-21 09:58:21,0,0,0
2025-08-21 09:58:22,0,0,0
2025-08-21 09:58:23,0,0,0
2025-08-21 09:58:24,0,0,0
2025-08-21 09:58:25,0,0,0
2025-08-21 09:58:26,0,0,0
2025-08-21 09:58:27,0,0,0
2025-08-21 09:58:28,18,533,1
2025-08-21 09:58:29,0,0,0
2025-08-21 09:58:30,0,0,0
2025-08-21 09:58:31,0,0,0
2025-08-21 09:58:32,0,0,0
2025-08-21 09:58:33,0,0,0
2025-08-21 09:58:34,0,0,0
2025-08-21 09:58:35,20,36,2
2025-08-21 09:58:36,0,0,0
2025-08-21 09:58:37,0,0,0
2025-08-21 09:58:38,0,0,0
2025-08-21 09:58:39,0,0,0
2025-08-21 09:58:40,0,0,0
2025-08-21 09:58:41,0,0,0
2025-08-21 09:58:42,0,0,0
2025-08-21 09:58:43,0,0,0
2025-08-21 09:58:44,0,0,0
2025-08-21 09:58:45,6,36,1
2025-08-21 09:58:46,0,0,0
2025-08-21 09:58:47,0,0,0
2025-08-21 09:58:48,0,0,0
2025-08-21 09:58:49,0,0,0
2025-08-21 09:58:50,0,0,0
2025-08-21 09:58:51,0,0,0
2025-08-21 09:58:52,6,144,1
2025-08-21 09:58:53,0,0,0
2025-08-21 09:58:54,0,0,0
2025-08-21 09:58:55,0,0,0
2025-08-21 09:58:56,0,0,0
2025-08-21 09:58:57,0,0,0
2025-08-21 09:58:58,0,0,0
2025-08-21 09:58:59,0,0,0
2025-08-21 09:59:00,0,0,0
2025-08-21 09:59:01,10,135,1
2025-08-21 09:59:02,0,0,0
2025-08-21 09:59:03,198,139226,3
2025-08-21 09:59:04,11,30,2
2025-08-21 09:59:05,22,157,3
2025-08-21 09:59:06,106,8902,1
2025-08-21 09:59:07,0,0,0
2025-08-21 09:59:08,0,0,0
2025-08-21 09:59:09,0,0,0
2025-08-21 09:59:10,5,30,1
2025-08-21 09:59:11,0,0,0
2025-08-21 09:59:12,492,125368,28
2025-08-21 09:59:13,818,325060,24
2025-08-21 09:59:14,13,478,3
2025-08-21 09:59:15,81,7460,3
2025-08-21 09:59:16,0,0,0
2025-08-21 09:59:17,0,0,0
2025-08-21 09:59:18,17,742,4
2025-08-21 09:59:19,10,135,1
2025-08-21 09:59:20,0,0,0
2025-08-21 09:59:21,14,36,2
2025-08-21 09:59:22,0,0,0
2025-08-21 09:59:23,0,0,0
2025-08-21 09:59:24,0,0,0
2025-08-21 09:59:25,7,0,1
2025-08-21 09:59:26,12,154,1
2025-08-21 09:59:27,59,42,2
2025-08-21 09:59:28,12,712,3
2025-08-21 09:59:29,0,0,0
2025-08-21 09:59:30,0,0,0
2025-08-21 09:59:31,0,0,0
2025-08-21 09:59:32,0,0,0
2025-08-21 09:59:33,0,0,0
2025-08-21 09:59:34,0,0,0
2025-08-21 09:59:35,39,0,1
2025-08-21 09:59:36,0,0,0
2025-08-21 09:59:37,0,0,0
2025-08-21 09:59:38,0,0,0
2025-08-21 09:59:39,0,0,0
2025-08-21 09:59:40,0,0,0
2025-08-21 09:59:41,0,0,0
2025-08-21 09:59:42,0,0,0
2025-08-21 09:59:43,8,516,2
2025-08-21 09:59:44,4,196,1
2025-08-21 09:59:45,0,0,0
2025-08-21 09:59:46,0,0,0
2025-08-21 09:59:47,0,0,0
2025-08-21 09:59:48,0,0,0
2025-08-21 09:59:49,0,0,0
2025-08-21 09:59:50,0,0,0
2025-08-21 09:59:51,0,0,0
2025-08-21 09:59:52,0,0,0
2025-08-21 09:59:53,0,0,0
2025-08-21 09:59:54,0,0,0
2025-08-21 09:59:55,12,72,2
2025-08-21 09:59:56,0,0,0
2025-08-21 09:59:57,0,0,0
2025-08-21 09:59:58,22,392,2
2025-08-21 09:59:59,24,454,2
2025-08-21 10:00:00,10,190,1
2025-08-21 10:00:01,0,0,0
2025-08-21 10:00:02,0,0,0
2025-08-21 10:00:03,0,0,0
2025-08-21 10:00:04,0,0,0
2025-08-21 10:00:05,0,0,0
2025-08-21 10:00:06,6,36,1
2025-08-21 10:00:07,0,0,0
2025-08-21 10:00:08,0,0,0
2025-08-21 10:00:09,0,0,0
2025-08-21 10:00:10,60,1140,6
2025-08-21 10:00:11,10,190,1
2025-08-21 10:00:12,0,0,0
2025-08-21 10:00:13,12,712,3
2025-08-21 10:00:14,0,0,0
2025-08-21 10:00:15,0,0,0
2025-08-21 10:00:16,0,0,0
2025-08-21 10:00:17,0,0,0
2025-08-21 10:00:18,0,0,0
2025-08-21 10:00:19,0,0,0
2025-08-21 10:00:20,8,73,1
2025-08-21 10:00:21,0,0,0
2025-08-21 10:00:22,0,0,0
2025-08-21 10:00:23,0,0,0
2025-08-21 10:00:24,0,0,0
2025-08-21 10:00:25,72,0,1
2025-08-21 10:00:26,6,36,1
2025-08-21 10:00:27,0,0,0
2025-08-21 10:00:28,6,36,1
2025-08-21 10:00:29,0,0,0
2025-08-21 10:00:30,0,0,0
2025-08-21 10:00:31,0,0,0
2025-08-21 10:00:32,0,0,0
2025-08-21 10:00:33,0,0,0
2025-08-21 10:00:34,226,13684,10
2025-08-21 10:00:35,10,48,2
2025-08-21 10:00:36,69,7392,1
2025-08-21 10:00:37,0,0,0
2025-08-21 10:00:38,0,0,0
2025-08-21 10:00:39,0,0,0
2025-08-21 10:00:40,12,202,1
2025-08-21 10:00:41,0,0,0
2025-08-21 10:00:42,6,36,1
2025-08-21 10:00:43,0,0,0
2025-08-21 10:00:44,0,0,0
2025-08-21 10:00:45,0,0,0
2025-08-21 10:00:46,7,0,1
2025-08-21 10:00:47,0,0,0
2025-08-21 10:00:48,0,0,0
2025-08-21 10:00:49,0,0,0
2025-08-21 10:00:50,0,0,0
2025-08-21 10:00:51,0,0,0
2025-08-21 10:00:52,0,0,0
2025-08-21 10:00:53,0,0,0
2025-08-21 10:00:54,0,0,0
2025-08-21 10:00:55,0,0,0
2025-08-21 10:00:56,0,0,0
2025-08-21 10:00:57,0,0,0
2025-08-21 10:00:58,0,0,0
2025-08-21 10:00:59,0,0,0
2025-08-21 10:01:00,0,0,0
2025-08-21 10:01:01,0,0,0
2025-08-21 10:01:02,0,0,0
2025-08-21 10:01:03,0,0,0
2025-08-21 10:01:04,0,0,0
2025-08-21 10:01:05,0,0,0
2025-08-21 10:01:06,0,0,0
2025-08-21 10:01:07,80,10478,2
2025-08-21 10:01:08,0,0,0
2025-08-21 10:01:09,315,65911,22
2025-08-21 10:01:10,662,302011,20
2025-08-21 10:01:11,755,360971,39
2025-08-21 10:01:12,41,42143,2
2025-08-21 10:01:13,38,10020,4
2025-08-21 10:01:14,0,0,0
2025-08-21 10:01:15,4,24,2
2025-08-21 10:01:16,107,26571,19
2025-08-21 10:01:17,408,99651,30
2025-08-21 10:01:18,162,34876,22
2025-08-21 10:01:19,0,0,0
2025-08-21 10:01:20,0,0,0
2025-08-21 10:01:21,5,30,1
2025-08-21 10:01:22,48,2729,7
2025-08-21 10:01:23,0,0,0
2025-08-21 10:01:24,0,0,0
2025-08-21 10:01:25,0,0,0
2025-08-21 10:01:26,10002,2288874,4993
2025-08-21 10:01:27,16214,3708097,8049
2025-08-21 10:01:28,15880,3630022,7940
2025-08-21 10:01:29,15842,3627438,7918
2025-08-21 10:01:30,16164,3703090,8079
2025-08-21 10:01:31,16178,3705240,8079
2025-08-21 10:01:32,16144,3696717,8066
2025-08-21 10:01:33,16440,3760524,8148
2025-08-21 10:01:34,15870,3632366,7934
2025-08-21 10:01:35,16204,3709020,8102
2025-08-21 10:01:36,16148,3702556,8066
2025-08-21 10:01:37,16242,3712495,8062
2025-08-21 10:01:38,16200,3709062,8096
2025-08-21 10:01:39,16110,3678524,8047
2025-08-21 10:01:40,16284,3733630,8114
2025-08-21 10:01:41,16130,3695554,8057
2025-08-21 10:01:42,15886,3642127,7937
2025-08-21 10:01:43,16288,3730534,8139
2025-08-21 10:01:44,16236,3719354,8094
2025-08-21 10:01:45,16308,3739008,8154
2025-08-21 10:01:46,15998,3655272,7995
2025-08-21 10:01:47,16126,3688108,8015
2025-08-21 10:01:48,16274,3731564,8137
2025-08-21 10:01:49,6818,1557716,3409
